사건의 지평선,윤하 (YOUNHA)
Nxde,(여자)아이들
ANTIFRAGILE,LE SSERAFIM (르세라핌)
Hype boy,NewJeans
After LIKE,IVE (아이브)
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
Rush Hour (Feat. j-hope of BTS),Crush
Attention,NewJeans
Shut Down,BLACKPINK
Monologue,테이
LOVE DIVE,IVE (아이브)
사랑은 늘 도망가,임영웅
자격지심 (Feat. ZICO),BE'O (비오)
Pink Venom,BLACKPINK
우리들의 블루스,임영웅
딱 10CM만,10CM
다시 만날 수 있을까,임영웅
TOMBOY,(여자)아이들
해요 (2022),#안녕
그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
우린 그렇게 사랑해서,강민경 (다비치)
그라데이션,10CM
Cookie,NewJeans
무지개,임영웅
이제 나만 믿어요,임영웅
사랑인가 봐,멜로망스
내가 아니라도,주호
아버지,임영웅
A bientot,임영웅
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
FEARLESS,LE SSERAFIM (르세라핌)
손이 참 곱던 그대,임영웅
너의 모든 순간,성시경
보고싶었어,WSG워너비 (4FIRE)
인생찬가,임영웅
사랑해 진짜,임영웅
나의 X에게,경서
ELEVEN,IVE (아이브)
That That (prod. & feat. SUGA of BTS),싸이 (PSY)
연애편지,임영웅
That's Hilarious,Charlie Puth
취중고백,김민석 (멜로망스)
FOREVER 1,소녀시대 (GIRLS' GENERATION)
떠나보낼 준비해 둘걸 그랬어,임한별
내 기쁨은 너가 벤틀리를 끄는 거야,김승민
사랑역,임영웅
다정히 내 이름을 부르면,경서예지
보금자리,임영웅
사랑해요 그대를,임영웅
LOVE me,BE'O (비오)
Dynamite,방탄소년단
새벽에 걸려온 너의 전화는,한동근
I Don't Think That I Like Her,Charlie Puth
SNEAKERS,ITZY (있지)
LAW (Prod. Czaer),윤미래
도깨비불 (Illusion),aespa
Love story,볼빨간사춘기
Left and Right (Feat. Jung Kook of BTS),Charlie Puth
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
STAY,The Kid LAROI
Butter,방탄소년단
봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
밤하늘의 별을(2020),경서
POP!,나연 (TWICE)
사랑한다고 말해줘,탑현
주저하는 연인들을 위해,잔나비
봄날,방탄소년단
첫사랑,백아
The Astronaut,진
스티커 사진,21학번
Yet To Come,방탄소년단
고백연습,경서
Permission to Dance,방탄소년단
MY BAG,(여자)아이들
Feel My Rhythm,Red Velvet (레드벨벳)
그래서 그대는,이영현
strawberry moon,아이유
신호등,이무진
INVU,태연 (TAEYEON)
못해,김나영
통화연결음,보라미유
내 손을 잡아,아이유
Off My Face,Justin Bieber
드라마,아이유
DICE,NMIXX
Next Level,aespa
바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
Girls,aespa
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
그중에 그대를 만나,김호중
늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
GANADARA (Feat. 아이유),박재범
너를 생각해,주시크 (Joosiq)
I Ain't Worried,OneRepublic
Talk that Talk,TWICE (트와이스)
나의 목소리로,김호중
Weekend,태연 (TAEYEON)
인생은 뷰티풀,김호중
듣고 싶을까,MSG워너비(M.O.M)
아무래도 난,주시크 (Joosiq)
